"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","getUserStatus: Отсутствует активность (120, 150, LONG.MAX_VALUE, Highly active) [2] 150","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive"
"","13","recordSession: Тест записи сессии (отсутствует пользователь с указанным userId)","","Sat Mar 22 11:30:31 UTC 2025","passed","Sat Mar 22 11:30:31 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionNoUser"
"","6","getUserStatus: Отсутствует активность (120, 150, LONG.MAX_VALUE, Highly active) [1] 120","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive"
"","2","getUserStatus: Отсутствует активность (60, 61, 90, 119, Active) [4] 119","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active"
"","558","inactiveUsers: Тест получения неактивных пользователей (Успех, 0 дней, [])","","Sat Mar 22 11:30:31 UTC 2025","failed","Sat Mar 22 11:30:32 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersZeroDaysSuccess"
"","23","inactiveUsers: Тест получения неактивных пользователей (Success, 5 дней, [])","","Sat Mar 22 11:30:32 UTC 2025","passed","Sat Mar 22 11:30:32 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersSuccessEmptyTenDay"
"","18","inactiveUsers: Тест получения неактивных пользователей (Отсутствует параметр days)","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersNoDaysParameter"
"","63","getUserStatus: Отсутствует активность (60, 61, 90, 119, Active) [1] 60","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active"
"","13","recordSession: Тест записи сессии (отсутствует параметр logoutTime)","","Sat Mar 22 11:30:31 UTC 2025","passed","Sat Mar 22 11:30:31 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionNoLogoutTimeParam"
"","18","recordSession: Тест записи сессии (отсутствует параметр userId)","","Sat Mar 22 11:30:31 UTC 2025","passed","Sat Mar 22 11:30:31 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionNoUserIdParam"
